
2025/05/21 (10:01:59) | DEBUG: Using locale en_US.UTF-8
2025/05/21 (10:01:59) | INFO: Running on /dev/pts/6
2025/05/21 (10:01:59) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/05/21 (10:01:59) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/05/21 (10:01:59) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/05/21 (10:01:59) | DEBUG: Shared::init() : Initialized.

2025/05/21 (10:02:17) | ===> btop++ v.1.4.0
2025/05/21 (10:02:17) | INFO: Logger set to DEBUG
2025/05/21 (10:02:17) | DEBUG: Using locale en_US.UTF-8
2025/05/21 (10:02:17) | INFO: Running on /dev/pts/3
2025/05/21 (10:02:17) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/05/21 (10:02:17) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/05/21 (10:02:17) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/05/21 (10:02:17) | DEBUG: Shared::init() : Initialized.

2025/05/23 (16:03:23) | ===> btop++ v.1.4.0
2025/05/23 (16:03:23) | INFO: Logger set to DEBUG
2025/05/23 (16:03:23) | DEBUG: Using locale en_US.UTF-8
2025/05/23 (16:03:23) | INFO: Running on /dev/pts/5
2025/05/23 (16:03:23) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/05/23 (16:03:23) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/05/23 (16:03:23) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/05/23 (16:03:23) | DEBUG: Shared::init() : Initialized.

2025/05/26 (22:42:31) | ===> btop++ v.1.4.0
2025/05/26 (22:42:31) | INFO: Logger set to DEBUG
2025/05/26 (22:42:31) | DEBUG: Using locale en_US.UTF-8
2025/05/26 (22:42:31) | INFO: Running on /dev/pts/10
2025/05/26 (22:42:31) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/05/26 (22:42:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/05/26 (22:42:31) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/05/26 (22:42:31) | DEBUG: Shared::init() : Initialized.

2025/05/27 (15:45:47) | ===> btop++ v.1.4.0
2025/05/27 (15:45:47) | INFO: Logger set to DEBUG
2025/05/27 (15:45:47) | DEBUG: Using locale en_US.UTF-8
2025/05/27 (15:45:47) | INFO: Running on /dev/pts/2
2025/05/27 (15:45:47) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/05/27 (15:45:47) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/05/27 (15:45:47) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/05/27 (15:45:47) | DEBUG: Shared::init() : Initialized.

2025/05/29 (11:05:02) | ===> btop++ v.1.4.0
2025/05/29 (11:05:02) | INFO: Logger set to DEBUG
2025/05/29 (11:05:02) | DEBUG: Using locale en_US.UTF-8
2025/05/29 (11:05:02) | INFO: Running on /dev/pts/3
2025/05/29 (11:05:02) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/05/29 (11:05:02) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/05/29 (11:05:02) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/05/29 (11:05:02) | DEBUG: Shared::init() : Initialized.

2025/05/29 (11:05:09) | ===> btop++ v.1.4.0
2025/05/29 (11:05:09) | INFO: Logger set to DEBUG
2025/05/29 (11:05:09) | DEBUG: Using locale en_US.UTF-8
2025/05/29 (11:05:09) | INFO: Running on /dev/pts/4
2025/05/29 (11:05:09) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/05/29 (11:05:09) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/05/29 (11:05:09) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/05/29 (11:05:09) | DEBUG: Shared::init() : Initialized.

2025/06/03 (14:55:32) | ===> btop++ v.1.4.0
2025/06/03 (14:55:32) | INFO: Logger set to DEBUG
2025/06/03 (14:55:32) | DEBUG: Using locale en_US.UTF-8
2025/06/03 (14:55:32) | INFO: Running on /dev/pts/3
2025/06/03 (14:55:32) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/06/03 (14:55:32) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/06/03 (14:55:32) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/06/03 (14:55:32) | DEBUG: Shared::init() : Initialized.

2025/06/08 (16:11:43) | ===> btop++ v.1.4.0
2025/06/08 (16:11:43) | INFO: Logger set to DEBUG
2025/06/08 (16:11:43) | DEBUG: Using locale en_US.UTF-8
2025/06/08 (16:11:43) | INFO: Running on /dev/pts/3
2025/06/08 (16:11:43) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/06/08 (16:11:43) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/06/08 (16:11:43) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/06/08 (16:11:43) | DEBUG: Shared::init() : Initialized.

2025/06/09 (08:00:33) | ===> btop++ v.1.4.0
2025/06/09 (08:00:33) | INFO: Logger set to DEBUG
